ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AS501,906,,,,,,,,,-2.23,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
AS001,908,,,,,,,,,-2.42,0.91,,,,,0.1,588.4260367,11.55024022,,,223.4260367,
AS003,914,,,,,,,,,-2.4,1.19,,,,,0.1,589.979254,10.22494159,,,224.979254,
AS701,918,,,,,,,,,-2.43,1.18,,,,,0.1,591.1417625,9.765342253,,,226.1417625,
AS005,920,,,,,,,,,-2.24,1.38,,,,,0.1,591.4949633,9.325185308,,,226.4949633,
AS007,926,,,,,,,,,-2.09,1.47,,,,,0.1,593.316175,8.992467507,,,228.316175,
AS009,932,,,,,,,,,-2.06,1.39,,,,,0.1,594.2004431,8.69365773,,,229.2004431,
AS011(2),939,,,,,,,,,-2.06,0.67,,,,,0.1,595.9960336,8.455036051,,,230.9960336,
AS013,944,,,,,,,,,-1.82,0.31,,,,,0.1,598.0258523,8.391288212,,,233.0258523,
AS702,948,,,,,,,,,-1.77,0.03,,,,,0.1,598.5399737,8.283721428,,,233.5399737,
AS015,950,,,,,,,,,-1.88,-0.19,,,,,0.1,599.2881125,8.248380426,,,234.2881125,
AS017,956,,,,,,,,,-1.69,-0.13,,,,,0.1,601.01816,8.199569181,,,236.01816,
AS019,962,,,,,,,,,-1.74,-0.06,,,,,0.1,602.4370696,8.127524712,,,237.4370696,
